Territory Name,created_timestamp,address_id,group,alias,address,address_2,member_id,first_name,last_name,email,phone,city,state,country_id,zipcode,lat,lng,curbside_lat,curbside_lng,schedule,schedule_blacklist,in_route_count,last_visited_timestamp,last_routed_timestamp,time_window_start,time_window_end,time_window_start_2,time_window_end_2,service_time,timezone,color,address_icon,address_stop_type,address_cube,address_pieces,address_reference_no,address_revenue,address_weight,address_priority,address_customer_po
,,,,,Unknown address 3556,,,,,,,,,,,40.641162,-73.922732,40.641162,-73.922732,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 2942,,,,,,,,,,,40.642001,-73.923212,40.642001,-73.923212,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3618,,,,,,,,,,,40.641135,-73.922641,40.641135,-73.922641,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3159,,,,,,,,,,,40.641515,-73.92275,40.641515,-73.92275,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3541,,,,,,,,,,,40.641173,-73.922731,40.641173,-73.922731,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3657,,,,,,,,,,,40.641114,-73.922236,40.641114,-73.922236,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3801,,,,,,,,,,,40.641061,-73.922512,40.641061,-73.922512,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4378,,,,,,,,,,,40.640781,-73.922719,40.640781,-73.922719,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3579,,,,,,,,,,,40.641152,-73.92238,40.641152,-73.92238,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4134,,,,,,,,,,,40.640921,-73.922869,40.640921,-73.922869,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3645,,,,,,,,,,,40.64112,-73.922278,40.64112,-73.922278,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3708,,,,,,,,,,,40.641093,-73.922669,40.641093,-73.922669,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3982,,,,,,,,,,,40.640989,-73.922609,40.640989,-73.922609,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4110,,,,,,,,,,,40.640934,-73.922847,40.640934,-73.922847,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4283,,,,,,,,,,,40.640848,-73.922852,40.640848,-73.922852,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3366,,,,,,,,,,,40.64128,-73.922498,40.64128,-73.922498,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 11,,,,,,,,,,,40.640646,-73.922972,40.640646,-73.922972,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 5,,,,,,,,,,,40.640651,-73.923201,40.640651,-73.923201,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3271,,,,,,,,,,,40.641353,-73.922696,40.641353,-73.922696,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4064,,,,,,,,,,,40.640956,-73.922486,40.640956,-73.922486,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 3405,,,,,,,,,,,40.641249,-73.922499,40.641249,-73.922499,,,,,,,,,,,,,,DELIVERY,,,,,,,
,,,,,Unknown address 4124,,,,,,,,,,,40.640927,-73.922399,40.640927,-73.922399,,,,,,,,,,,,,,DELIVERY,,,,,,,
