Location ID,Is Depot,group,Alias,Address,Address 2,First name,Last name,E-mail,Phone,City,State,Country ID,Zipcode,Latitude,Longitude,Curbside latitude,Curbside longitude,Schedule,Schedule blacklist,Time window start,Time window end,Time window start 2,Time window end 2,Service time,Timezone,Color,Address icon,Custom data
,TRUE,,,"455 S 4th St, Louisville, KY 40202",,,,,,,,,,38.251698,-85.757308,,,,,,,,,,,,,
,,,,"1604 PARKRIDGE PKWY, Louisville, KY, 40214",,,,,,,,,,38.141598,-85.793846,,,,,,,,,,,,,
,,,,"1407 ?53MCCOY, Louisville, KY, 40215",,,,,,,,,,38.202496,-85.786514,,,,,,,,,,,,,
,,,,"4805 BELLEVUE AVE, Louisville, KY, 40215",,,,,,,,,,38.178844,-85.774864,,,,,,,,,,,,,
,,,,"730 CECIL AVENUE, Louisville, KY, 40211",,,,,,,,,,38.248684,-85.821121,,,,,,,,,,,,,
,,,,"650 SOUTH 29TH ST UNIT 315, Louisville, KY, 40211",,,,,,,,,,38.251923,-85.800034,,,,,,,,,,,,,
,,,,"4629 HILLSIDE DRIVE, Louisville, KY, 40216",,,,,,,,,,38.176067,-85.824638,,,,,,,,,,,,,
,,,,"738 BELLEVUE AVE, Louisville, KY, 40215",,,,,,,,,,38.179806,-85.775558,,,,,,,,,,,,,
,,,,"318 SO. 39TH STREET, Louisville, KY, 40212",,,,,,,,,,38.259335,-85.815094,,,,,,,,,,,,,
,,,,"1324 BLUEGRASS AVE, Louisville, KY, 40215",,,,,,,,,,38.179253,-85.785118,,,,,,,,,,,,,
,,,,"7305 ROYAL WOODS DR, Louisville, KY, 40214",,,,,,,,,,38.162472,-85.792854,,,,,,,,,,,,,
