Address ID,Is Depot,group,Adsress alias,Address,Member ID,First name,Last name,E-mail,Phone,Latitude,Longitude,Curbside latitude,Curbside longitude,Priority,Sequence #,Address stop type,Customer PO,Invoice NO,Reference NO,Order NO,Weight,Cost,Revenue,Cube,Pieces,Account NO,Time window start,Time window end,Time window start 2,Time window end 2,Service time,Custom data,Tracking Number,Contact ID,Order ID,Notes
,TRUE,,,"455 S 4th St, Louisville, KY 40202",,,,,,38.251698,-85.757308,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1604 PARKRIDGE PKWY, Louisville, KY, 40214",,,,,,38.141598,-85.793846,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1407 ?53MCCOY, Louisville, KY, 40215",,,,,,38.202496,-85.786514,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4805 BELLEVUE AVE, Louisville, KY, 40215",,,,,,38.178844,-85.774864,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"730 CECIL AVENUE, Louisville, KY, 40211",,,,,,38.248684,-85.821121,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"650 SOUTH 29TH ST UNIT 315, Louisville, KY, 40211",,,,,,38.251923,-85.800034,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4629 HILLSIDE DRIVE, Louisville, KY, 40216",,,,,,38.176067,-85.824638,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4738 BELLEVUE AVE, Louisville, KY, 40215",,,,,,38.179806,-85.775558,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"318 SO. 39TH STREET, Louisville, KY, 40212",,,,,,38.259335,-85.815094,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1324 BLUEGRASS AVE, Louisville, KY, 40215",,,,,,38.179253,-85.785118,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"7305 ROYAL WOODS DR, Louisville, KY, 40214",,,,,,38.162472,-85.792854,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1661 W HILL ST, Louisville, KY, 40210",,,,,,38.229584,-85.783966,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3222 KINGSWOOD WAY, Louisville, KY, 40216",,,,,,38.210606,-85.822594,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1922 PALATKA RD, Louisville, KY, 40214",,,,,,38.153767,-85.796783,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1314 SOUTH 26TH STREET, Louisville, KY, 40210",,,,,,38.235847,-85.796852,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2135 MCCLOSKEY AVENUE, Louisville, KY, 40210",,,,,,38.218662,-85.789032,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1409 PHYLLIS AVE, Louisville, KY, 40215",,,,,,38.206154,-85.781387,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4504 SUNFLOWER AVE, Louisville, KY, 40216",,,,,,38.187511,-85.839149,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2512 GREENWOOD AVE, Louisville, KY, 40210",,,,,,38.241405,-85.795059,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"5500 WILKE FARM AVE, Louisville, KY, 40216",,,,,,38.166065,-85.863319,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3640 LENTZ AVE, Louisville, KY, 40215",,,,,,38.193283,-85.786201,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1020 BLUEGRASS AVE, Louisville, KY, 40215",,,,,,38.17952,-85.780037,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"123 NORTH 40TH ST, Louisville, KY, 40212",,,,,,38.26498,-85.814156,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"7315 ST ANDREWS WOODS CIRCLE UNIT 104, Louisville, KY, 40214",,,,,,38.151072,-85.802867,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"3210 POPLAR VIEW DR, Louisville, KY, 40216",,,,,,38.182594,-85.849937,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"4519 LOUANE WAY, Louisville, KY, 40216",,,,,,38.1754,-85.811447,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"6812 MANSLICK RD, Louisville, KY, 40214",,,,,,38.161839,-85.798279,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1524 HUNTOON AVENUE, Louisville, KY, 40215",,,,,,38.172031,-85.788353,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1307 LARCHMONT AVE, Louisville, KY, 40215",,,,,,38.209663,-85.779816,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"434 N 26TH STREET #2, Louisville, KY, 40212",,,,,,38.26844,-85.791962,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"678 WESTLAWN ST, Louisville, KY, 40211",,,,,,38.250397,-85.80629,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2308 W BROADWAY, Louisville, KY, 40211",,,,,,38.248882,-85.790421,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2332 WOODLAND AVE, Louisville, KY, 40210",,,,,,38.233579,-85.794257,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1706 WEST ST. CATHERINE, Louisville, KY, 40210",,,,,,38.239697,-85.783928,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"1699 WATHEN LN, Louisville, KY, 40216",,,,,,38.216465,-85.792397,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"2416 SUNSHINE WAY, Louisville, KY, 40216",,,,,,38.186245,-85.831787,,,,,,,,,,,,,,,,,,,,0:05,,,,,
,,,,"6925 MANSLICK RD, Louisville, KY, 40214",,,,,,38.158466,-85.798355,,,,,,,,,,,,,,,,,,,,0:05,,,,,
